account_id,deal_size_log,days_in_stage,num_meetings,email_open_rate,champion_identified,competitor_present,product_fit_score,account_tenure_yrs,prev_purchases,exec_sponsor,nps_score,days_since_contact,meetings_per_day,engagement_score,stage_weight,industry_score,contact_lapsed,high_value_deal,champion_and_sponsor,converted,propensity_score,run_id,shap_deal_size_log,shap_days_in_stage,shap_meetings,shap_email_open_rate,shap_champion_identified,shap_competitor_present,shap_product_fit_score,shap_account_tenure_yrs,shap_previous_purchases,shap_exec_sponsor,shap_nps_score,shap_days_since_contact,shap_meetings_per_day,shap_engagement_score,shap_stage_weight,shap_industry_score,shap_contact_lapsed,shap_high_value_deal,shap_champion_and_sponsor
ACC-04172,11.160541302448653,41,4,0.082,0,0,0.514,4.3,0,0,0,0,0.09523809523809523,0.18460000000000001,1,0.5,0,0,0,0,0.2589133381843567,4b7616b2,-0.0706482082605362,-0.0816395953297615,-0.055264152586460114,0.09593094885349274,-0.3787238597869873,0.27604496479034424,-0.27615469694137573,0.4878629446029663,-0.35551539063453674,-0.44465306401252747,-0.14060387015342712,0.42773327231407166,-0.1688258796930313,-0.1842155009508133,-0.39724311232566833,-0.007909107953310013,0.006097187288105488,-0.005063064396381378,-0.07420580834150314
ACC-02359,11.87340018062404,54,4,0.3,1,0,0.322,5.2,2,1,0,1,0.07272727272727272,0.25,1,0.6,0,0,1,1,0.7560872435569763,4b7616b2,-0.1734202653169632,-0.124555304646492,-0.06814777851104736,0.13801948726177216,0.3989420235157013,0.14946012198925018,-0.8663163781166077,0.3774966597557068,0.2713327705860138,0.743818461894989,-0.1436091810464859,0.4300408363342285,-0.06982672214508057,-0.30039942264556885,-0.2758089601993561,-0.1863405853509903,0.011037219315767288,-0.005122633650898933,0.5293737649917603
ACC-00730,9.70509758756311,63,3,0.191,0,1,0.802,0.4,1,0,0,3,0.046875,0.17729999999999999,3,0.75,0,0,0,0,0.19176726043224335,4b7616b2,-0.20458868145942688,0.06307931244373322,-0.04507535696029663,0.012955553829669952,-0.44419634342193604,-0.44023820757865906,0.2954171597957611,-0.44238075613975525,-0.11824814230203629,-0.338338702917099,-0.2437216192483902,0.4355369806289673,0.053674712777137756,-0.5217320919036865,0.23025989532470703,0.0590575709939003,0.008366542868316174,-0.0016391713870689273,-0.09212876856327057
ACC-02018,11.521895117095363,40,2,0.207,0,1,0.843,0.4,3,0,0,3,0.04878048780487805,0.1421,4,0.8,0,0,0,1,0.3051905035972595,4b7616b2,-0.0486317053437233,-0.03911426290869713,-0.11917661875486374,-0.20016169548034668,-0.5078372955322266,-0.4325498640537262,0.23331698775291443,-0.5725869536399841,0.45160162448883057,-0.31736159324645996,-0.37617653608322144,0.2983483076095581,0.06183871999382973,-0.6416941285133362,1.138273000717163,0.038066230714321136,0.0075437044724822044,-0.001016891561448574,-0.09075471013784409
ACC-03069,10.599156550639583,58,2,0.217,0,0,0.448,8.7,1,0,0,3,0.03389830508474576,0.1451,5,0.65,0,0,0,1,0.31973159313201904,4b7616b2,-0.01604606956243515,-0.01875270903110504,-0.09258850663900375,-0.16913250088691711,-0.34873098134994507,0.21748575568199158,-0.34053418040275574,0.5490902662277222,-0.08521220833063126,-0.39684396982192993,-0.14109858870506287,0.5199532508850098,-0.021664461120963097,-0.40266403555870056,-0.06210334599018097,-0.18196475505828857,0.026889270171523094,-0.004395161755383015,-0.08206451684236526
ACC-01874,12.021554678392043,67,5,0.187,0,1,0.624,1.1,0,0,0,4,0.07352941176470588,0.2561,3,0.8,0,0,0,0,0.15210449695587158,4b7616b2,-0.12153534591197968,0.02826579473912716,0.02760368585586548,0.04563641920685768,-0.46442729234695435,-0.4873967170715332,-0.053731244057416916,-0.3838098645210266,-0.3909400403499603,-0.3507882058620453,-0.29101336002349854,0.13655178248882294,-0.04179273918271065,0.04003384709358215,0.3418165147304535,0.02661406248807907,0.008946157060563564,-0.0013835410354658961,-0.0822117030620575
ACC-03526,10.434145214930487,48,3,0.466,0,0,0.821,8.5,2,0,0,4,0.061224489795918366,0.25980000000000003,4,0.75,0,0,0,0,0.8681306838989258,4b7616b2,-0.052508849650621414,-0.03210463374853134,-0.012731852941215038,-0.1566145271062851,-0.32892683148384094,0.19330868124961853,0.13148395717144012,0.7496877312660217,0.17320014536380768,-0.30337387323379517,-0.5195372700691223,0.3360525965690613,0.1012537032365799,0.04935428500175476,1.2620176076889038,0.05824790894985199,0.01650940626859665,-0.0036779644433408976,-0.07248129695653915
ACC-04957,13.178934618892328,19,7,0.186,0,0,0.618,0.4,2,0,0,4,0.35,0.33580000000000004,5,0.55,0,1,0,1,0.6096715331077576,4b7616b2,0.5368468761444092,-0.03679092228412628,0.23244477808475494,0.03834567591547966,-0.4337425231933594,0.3163982629776001,-0.13310553133487701,-0.5649803280830383,0.011425437405705452,-0.37367385625839233,-0.19217754900455475,0.4892914891242981,0.07296633720397949,0.12903285026550293,0.004290424287319183,0.062060318887233734,0.03891737386584282,0.02743576653301716,-0.07442546635866165
ACC-02177,14.182512692428716,24,5,0.361,0,1,0.65,0.8,4,0,0,5,0.2,0.3083,1,0.65,0,1,0,0,0.5245181918144226,4b7616b2,0.906981348991394,-0.009470680728554726,-0.017994219437241554,0.01493299100548029,-0.42926275730133057,-0.42571014165878296,-0.0441681370139122,-0.31082916259765625,0.4279203414916992,-0.28118929266929626,-0.21272070705890656,0.4346078634262085,0.1916152834892273,0.07542501389980316,-0.3160552382469177,-0.128530353307724,0.006885923910886049,0.012443815357983112,-0.09210225939750671
ACC-02935,10.666650414667744,9,1,0.093,0,0,0.519,2.2,2,0,0,5,0.1,0.0679,3,0.8,0,0,0,1,0.4098603129386902,4b7616b2,-0.059412937611341476,0.015893561765551567,0.010997182689607143,0.18945246934890747,-0.45843929052352905,0.2959374785423279,-0.21648453176021576,-0.1916208416223526,0.11987172067165375,-0.3842017650604248,-0.28862684965133667,0.2617785930633545,-0.12478704005479813,-0.23903384804725647,0.35283589363098145,0.15158765017986298,-0.003705686656758189,-0.001454613753594458,-0.09050142765045166
ACC-03068,9.55400099583723,31,5,0.243,1,1,0.519,2.7,0,0,0,5,0.15625,0.27290000000000003,3,0.5,0,0,0,1,0.4593445956707001,4b7616b2,-0.2863137423992157,-0.07654695212841034,0.03851472958922386,-0.02583380974829197,0.4715711772441864,-0.27718889713287354,-0.23607435822486877,0.03227389603853226,-0.4173316955566406,-0.31292295455932617,-0.08650088310241699,0.32896900177001953,-0.010580631904304028,-0.020754115656018257,0.5099945068359375,-0.0337904617190361,0.005087915807962418,-0.001571562374010682,-0.05935443192720413
ACC-01890,9.210440366976517,23,3,0.62,0,1,0.595,7.6,1,0,0,6,0.125,0.306,2,0.5,0,0,0,0,0.5360550880432129,4b7616b2,-0.08189383894205093,0.09578509628772736,-0.024157963693141937,0.010225232690572739,-0.28085246682167053,-0.3644215762615204,0.02767101302742958,0.86634361743927,-0.17035652697086334,-0.30224308371543884,-0.18922527134418488,0.4972905218601227,-0.07856444269418716,0.05181450769305229,-0.2270173877477646,0.08780527114868164,0.010060402564704418,-0.0016964338719844818,-0.07746750116348267
ACC-04100,10.905974329106854,30,4,0.075,0,1,0.781,4.4,2,1,0,6,0.12903225806451613,0.1825,5,0.75,0,0,0,1,0.7967327833175659,4b7616b2,-0.12125323712825775,0.0016849476378411055,-0.04970991611480713,0.008967796340584755,-0.2816654145717621,-0.29854294657707214,0.1677563339471817,0.5986437797546387,0.09420982748270035,0.8832812905311584,-0.17814218997955322,0.6258324384689331,-0.11096873879432678,-0.12733224034309387,-0.07200932502746582,0.003133621299639344,0.0283863116055727,-0.0014550427440553904,-0.10019063949584961
ACC-01294,12.079380667837011,28,3,0.309,1,0,0.791,0.8,1,0,0,7,0.10344827586206896,0.2127,3,0.6,0,0,0,1,0.6345871686935425,4b7616b2,-0.012792038731276989,-0.05770770087838173,-0.03536844626069069,0.11026207357645035,0.5584778189659119,0.31752559542655945,0.3173571228981018,-0.21100877225399017,-0.153977170586586,-0.3247919976711273,-0.16046248376369476,0.33037349581718445,-0.22060532867908478,-0.3716828525066376,0.355024516582489,-0.0968133807182312,-0.006160560064017773,-0.0034675542265176773,-0.07760762423276901
ACC-01747,11.595435894542709,48,5,0.49,0,0,0.761,1.6,2,1,0,7,0.10204081632653061,0.347,1,0.75,0,0,0,1,0.7344850897789001,4b7616b2,0.06312954425811768,-0.007614186033606529,-0.020565858110785484,-0.20633111894130707,-0.36973536014556885,0.42359602451324463,0.18627271056175232,-0.35649800300598145,0.12168746441602707,0.8002756834030151,-0.34197717905044556,0.6257582902908325,-0.1205940991640091,0.13937537372112274,-0.26943159103393555,0.11073018610477448,0.029376858845353127,-0.003296357113867998,-0.08203142136335373
ACC-01952,10.851296331126829,58,2,0.178,0,0,0.601,2.1,1,1,0,7,0.03389830508474576,0.1334,1,0.65,0,0,0,0,0.4443054497241974,4b7616b2,-0.1431775689125061,-0.040680818259716034,-0.08321676403284073,0.08153899759054184,-0.33381393551826477,0.31055748462677,-0.05815859138965607,-0.31347960233688354,-0.13827136158943176,0.7652032375335693,-0.1431446671485901,0.4409904479980469,-0.07131832838058472,-0.20874108374118805,-0.3660692274570465,-0.15476512908935547,0.026075515896081924,-0.004510354716330767,-0.08409684151411057
